Fecha,Año,País,Estado,Sexo,Edad,Provocado,Fatal,Hora_limpia,Momento_día,Especie_grupo,Herida
2016-09-26,2016,AUSTRALIA,New South Wales,M,17,,False,,,Blanco,4 deep lacerations to thigh
2016-09-07,2016,USA,Hawaii,F,51,,False,14,Tarde,Tigre,Severe lacerations to shoulder & forearm
2016-09-01,2016,USA,California,M,22,,False,,,Blanco,Two toes broken & lacerated
2016-08-29,2016,USA,Florida,M,25,,False,15,Tarde,Toro,Lacerations to right foot
2016-08-27,2016,REUNION,,M,20,,False,17,Tarde,Toro,"Right arm severed, ankle severely bitten "
2016-08-06,2016,USA,Hawaii,M,21,,False,16,Tarde,Tigre,"No inury, shark & board collided"
2016-07-28,2016,AUSTRALIA,Western Australia,M,,,False,,,Blanco,"No injury, shark nudged kayak repeatedly"
2016-07-23,2016,BAHAMAS,Abaco Islands,M,,,False,,,Toro,Lacerations to face and right leg
2016-07-17,2016,USA,Alabama,NAN,,,False,,,Tigre,"No injury, shark bit trolling motor"
2016-07-15,2016,USA,California,M,61,,False,17,Tarde,Blanco,"No injury, board damaged"
2016-07-08,2016,USA,California,M,,,False,,,Blanco,"No injury. Hull bitten, tooth fragment recovered"
2016-07-07,2016,USA,California,M,,,False,,,Blanco,"No injury. Hull bitten, tooth fragment recovered"
2016-06-23,2016,SOUTH AFRICA,Western Cape Province,M,43,,False,,,Blanco,Injuries to left leg & right hand
2016-05-31,2016,AUSTRALIA,Western Australia,M,29,,True,16,Tarde,Blanco,FATAL
2016-05-21,2016,USA,Florida,F,22,,False,18,Tarde,Toro,Lacerations and puncture wounds to foot and ankle
2016-04-25,2016,INDONESIA,Bali,M,24,,False,7,Mañana,Toro,Elbow bitten
2016-04-22,2016,SOUTH AFRICA,Western Cape Province,M,,,False,8,Mañana,Blanco,"No injury, surf-ski bitten"
2016-04-13,2016,USA,Florida,M,26,,False,,,Toro,Multiple bites to right arm
2016-04-09,2016,NEW CALEDONIA,Grand Terre,F,69,,True,10,Mañana,Tigre,FATAL
2016-03-02,2016,BRAZIL,Santa Catarina State,M,41,,False,,,Tigre,Minor injury to head
2016-02-02,2016,BRAZIL,Balneário Camboriú,M,41,,False,,,Tigre,Lacerations to scalp
2016-01-24,2016,USA,Texas,M,,,False,9,Mañana,Toro,"Bruised ribs & tail bone, speargun broken and wetsuit cut"
2016-01-23,2016,USA,Hawaii,M,48,,False,,,Tigre,No injury
2015-12-26,2015,SOUTH AFRICA,KwaZulu-Natal,M,,,False,,,Blanco,"No injury, kayak damaged"
2015-12-21,2015,BRAZIL,Pernambuco,M,32,,False,,,Tigre,Right hand & part of forearm removed
2015-12-13,2015,AUSTRALIA,New South Wales,NAN,,,False,10,Mañana,Blanco,"No injury, shark rammed boat & bit motor"
2015-12-11,2015,BAHAMAS,,M,26,,False,,,Toro,"Bitten on thigh, abdomen & hand"
2015-11-10,2015,AUSTRALIA,New South Wales,M,20,,False,18,Tarde,Toro,Injury to left thigh
2015-10-25,2015,SOUTH AFRICA,Western Cape Province,M,42,,False,15,Tarde,Blanco,"Lacerations to right calf, knee & hip"
2015-10-17,2015,USA,Hawaii,M,44,,False,11,Mañana,Tigre,Severe injuries to lower legs. Foot later surgically amputated.
2015-10-13,2015,USA,California,M,,,False,11,Mañana,Martillo,"No injury, shark rammed kayak repeatedly"
2015-10-09,2015,USA,Hawaii,M,25,,False,10,Mañana,Tigre,"Left leg severed below the knee, defense injuries to left hand"
